checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
sft__none,16,last_prompt,logistic,0.33720928804451633,-0.12013992940521631,-0.09955367994531547,2.413570838791872,1.0,1.0,0.22252222957690326,-0.0023165229218284865,344,656,565,250,1000
sft__none,19,last_prompt,logistic,0.32918578021676703,-0.14732380408947784,-0.0941174536255343,3.130637271076967,1.0,1.0,0.21306982634296828,-0.006540188663265924,344,656,565,250,1000
sft__none,24,last_prompt,logistic,0.3257814485030805,-0.23251167004236037,-0.10416606819957924,4.464249713195944,1.0,1.0,0.2121578754664437,-0.017571327288262745,344,656,565,250,1000
sft__none,26,last_prompt,logistic,0.3354057156606727,-0.29800831198565503,-0.11284169061349744,5.281883147362365,1.0,1.0,0.20224639653070528,-0.024648613691904346,344,656,565,250,1000
sft__none,31,last_prompt,logistic,0.325349674960109,-1.3914579797008064,-0.24614630917252608,11.305942261563803,1.0,1.0,0.16613730266009447,-0.020342899896819533,344,656,565,250,1000
sft__mistral_safety,8,last_prompt,logistic,0.356782770692187,-0.0523049835402488,-0.08180247170348635,1.2788118121868342,0.9938650306748467,0.9968,0.156349259114902,0.0311212303219162,353,647,565,250,1000
sft__mistral_safety,16,last_prompt,logistic,0.33098836708870377,-0.13650426916869077,-0.1103854156090712,2.473230153014402,1.0,1.0,0.24089257374273632,0.052248896061623806,353,647,565,250,1000
sft__mistral_safety,19,last_prompt,logistic,0.3067767062659116,-0.24640525885594905,-0.15700530484520786,3.1388144381348253,1.0,1.0,0.24457856329811817,0.05227914602144422,353,647,565,250,1000
sft__mistral_safety,24,last_prompt,logistic,0.29790613274932587,-0.41269924340917347,-0.18432333058469574,4.477992472250169,1.0,1.0,0.24443205132182258,0.04668924713089622,353,647,565,250,1000
sft__mistral_safety,26,last_prompt,logistic,0.30079151932483816,-0.5444623700396715,-0.20384585835073854,5.341902694955577,1.0,1.0,0.24230149776209026,0.04082278893466392,353,647,565,250,1000
sft__mistral_safety,31,last_prompt,logistic,0.2913769310269447,-1.6821368841248778,-0.3136398639108657,10.726550274252954,1.0,1.0,0.20487511198485076,0.044131095318593244,353,647,565,250,1000
dpo__none,8,last_prompt,logistic,0.36018926380414695,-0.00295573856074882,-0.004541789027640619,1.3015745745831242,0.9865030674846625,0.9968,0.1266817347318059,0.03593798056710295,210,790,565,250,1000
dpo__none,16,last_prompt,logistic,0.3401654399075464,-0.12420310100257216,-0.10189509627433482,2.4378621846173423,1.0,1.0,0.21361971308317332,0.037254655318888726,210,790,565,250,1000
dpo__none,19,last_prompt,logistic,0.331760014074584,-0.16583789119728037,-0.10519960243302252,3.1528235347251328,1.0,1.0,0.1953582729357068,0.030189131350955255,210,790,565,250,1000
