checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
sft__none,19,first_gen,logistic,0.3462239660713815,0.05489584984143863,0.024206984113384136,4.535538139266717,1.0,1.0,0.1225750983597089,0.02309394823666107,344,656,565,250,1000
sft__none,24,first_gen,logistic,0.3662620530202254,0.11500161216738967,0.03386005214061411,6.792760488956762,1.0,1.0,0.10964120089624747,0.025117732999114684,344,656,565,250,1000
sft__none,26,first_gen,logistic,0.36629652627008424,0.07849221711043765,0.02024722631874868,7.753379734561946,1.0,1.0,0.09889143705130601,0.022785092164445412,344,656,565,250,1000
sft__none,31,first_gen,logistic,0.4116508462297931,0.3278216908618189,0.046478314451477286,14.106436291017403,1.0,1.0,0.08416872759312327,0.0073304240480717535,344,656,565,250,1000
sft__mistral_safety,8,first_gen,logistic,0.3508174406370877,-0.08069761829790399,-0.10201502718796888,1.5820731616179198,0.950920245398773,0.988,0.2789366749448199,0.04122674848306028,353,647,565,250,1000
sft__mistral_safety,16,first_gen,logistic,0.3084816509741115,-0.30198151633505643,-0.19162042892190848,3.1518718336459175,0.9938650306748467,0.9992,0.16063868469909376,0.017038323923091563,353,647,565,250,1000
sft__mistral_safety,19,first_gen,logistic,0.307230873643287,-0.4399409758621318,-0.20666867196988117,4.2574520043971305,0.9975460122699387,0.9992,0.13465164531998036,0.00934949871919998,353,647,565,250,1000
sft__mistral_safety,24,first_gen,logistic,0.32146206001720734,-0.639924952256524,-0.20277519552390902,6.311668945535018,1.0,1.0,0.11123273588898042,0.005783600706908743,353,647,565,250,1000
sft__mistral_safety,26,first_gen,logistic,0.3257605612596647,-0.7489958565409146,-0.20794176590717353,7.203900123415042,1.0,1.0,0.10157756409645784,0.006779184894438576,353,647,565,250,1000
sft__mistral_safety,31,first_gen,logistic,0.37827955901494537,-0.7683672919959104,-0.1355784364720685,11.334653385742612,1.0,1.0,0.08811992777608106,0.0022041612516719503,353,647,565,250,1000
