checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
sft__none,26,first_gen,mean_diff,0.7505598068237305,-3.1407763957977295,-0.2199831265854103,28.554702758789062,0.8404907975460123,0.6688,0.8661915063858032,0.6614174842834473,344,656,565,250,1000
sft__none,31,first_gen,mean_diff,0.6725757718086243,-8.433579444885254,-0.31463045571210935,53.60942840576172,0.8343558282208589,0.6584,0.8752957582473755,0.44790688157081604,344,656,565,250,1000
sft__mistral_safety,8,first_gen,mean_diff,0.6261487007141113,-0.40297162532806396,-0.2511277220223161,3.209296226501465,0.8711656441717791,0.7744,0.8599975109100342,0.4253809154033661,353,647,565,250,1000
sft__mistral_safety,16,first_gen,mean_diff,0.6670987606048584,-1.4389816522598267,-0.3227823551055596,8.91611099243164,0.8846625766871166,0.7296,0.8777627348899841,0.4895390570163727,353,647,565,250,1000
sft__mistral_safety,19,first_gen,mean_diff,0.6921247243881226,-2.347554922103882,-0.3304346019733804,14.208892822265625,0.8834355828220859,0.7008,0.8904348611831665,0.5356658697128296,353,647,565,250,1000
sft__mistral_safety,24,first_gen,mean_diff,0.743358314037323,-4.126681804656982,-0.3222367783854678,25.612730026245117,0.8846625766871166,0.6664,0.9040871262550354,0.6282085180282593,353,647,565,250,1000
sft__mistral_safety,26,first_gen,mean_diff,0.7551077604293823,-5.09760856628418,-0.32635546780936436,31.239608764648438,0.8858895705521472,0.6488,0.9042465686798096,0.660248875617981,353,647,565,250,1000
sft__mistral_safety,31,first_gen,mean_diff,0.7757322788238525,-5.624166965484619,-0.21264200191968063,52.897987365722656,0.8699386503067484,0.6584,0.9076472520828247,0.61458820104599,353,647,565,250,1000
dpo__none,8,first_gen,mean_diff,0.4646439552307129,-0.6886122226715088,-0.4369438353190527,3.1519484519958496,0.8429447852760736,0.9,0.8658236861228943,0.25579404830932617,210,790,565,250,1000
dpo__none,16,first_gen,mean_diff,0.5973101258277893,-1.453403115272522,-0.346509955032255,8.388810157775879,0.8392638036809816,0.8144,0.8648980259895325,0.40034735202789307,210,790,565,250,1000
dpo__none,19,first_gen,mean_diff,0.6355198621749878,-2.5551955699920654,-0.37565949083896694,13.603785514831543,0.838036809815951,0.7264,0.8816713094711304,0.4882658123970032,210,790,565,250,1000
dpo__none,24,first_gen,mean_diff,0.6953150033950806,-4.287309646606445,-0.36357729579049475,23.584033966064453,0.8392638036809816,0.648,0.8959012031555176,0.5974185466766357,210,790,565,250,1000
dpo__none,26,first_gen,mean_diff,0.7082811594009399,-5.391682147979736,-0.3772685808624024,28.582725524902344,0.8392638036809816,0.6408,0.894830584526062,0.6293575167655945,210,790,565,250,1000
dpo__none,31,first_gen,mean_diff,0.6757522821426392,-11.606247901916504,-0.4092447292986284,56.72032928466797,0.838036809815951,0.6936,0.9030768871307373,0.5362643003463745,210,790,565,250,1000
dpo__mistral_safety,8,first_gen,mean_diff,0.5266090631484985,-0.7827463150024414,-0.46020374092264577,3.401738166809082,0.8736196319018404,0.7776,0.8841155767440796,0.34497910737991333,260,740,565,250,1000
dpo__mistral_safety,16,first_gen,mean_diff,0.5766521692276001,-2.186782121658325,-0.47492475635328946,9.208962440490723,0.8773006134969326,0.7632,0.8976773023605347,0.4116433262825012,260,740,565,250,1000
dpo__mistral_safety,19,first_gen,mean_diff,0.6128921508789062,-3.450427532196045,-0.4732737988293456,14.58110523223877,0.8809815950920246,0.728,0.9116932153701782,0.47133374214172363,260,740,565,250,1000
dpo__mistral_safety,24,first_gen,mean_diff,0.6798346042633057,-5.692090034484863,-0.44317324388770113,25.687877655029297,0.8809815950920246,0.652,0.9206314086914062,0.5723491907119751,260,740,565,250,1000
dpo__mistral_safety,26,first_gen,mean_diff,0.6983010768890381,-6.894478797912598,-0.43902488347239804,31.408145904541016,0.8822085889570552,0.644,0.9186368584632874,0.6063781976699829,260,740,565,250,1000
dpo__mistral_safety,31,first_gen,mean_diff,0.7118502855300903,-11.641870498657227,-0.39556279868794086,58.86231231689453,0.8748466257668711,0.6376,0.92580246925354,0.5850406289100647,260,740,565,250,1000
final__none,8,first_gen,mean_diff,0.4574016332626343,-0.6993293166160583,-0.44804282924437444,3.1217074394226074,0.8331288343558282,0.896,0.865450382232666,0.2512430250644684,214,786,565,250,1000
final__none,16,first_gen,mean_diff,0.5945687294006348,-1.4555202722549438,-0.35006361462496444,8.315747261047363,0.8306748466257668,0.8224,0.864280641078949,0.39720064401626587,214,786,565,250,1000
final__none,19,first_gen,mean_diff,0.6303603053092957,-2.530588388442993,-0.3775675093057405,13.404693603515625,0.8294478527607362,0.7392,0.8808139562606812,0.48418402671813965,214,786,565,250,1000
final__none,24,first_gen,mean_diff,0.6900156140327454,-4.24728536605835,-0.36681464385238927,23.157665252685547,0.8319018404907975,0.6488,0.8948078155517578,0.5944799184799194,214,786,565,250,1000
final__none,26,first_gen,mean_diff,0.703869640827179,-5.3271613121032715,-0.37928317207269313,28.090681076049805,0.8319018404907975,0.6432,0.8936145305633545,0.627470850944519,214,786,565,250,1000
final__none,31,first_gen,mean_diff,0.671241044998169,-11.557310104370117,-0.4131590345074746,55.94606018066406,0.8294478527607362,0.6848,0.8998552560806274,0.5358058214187622,214,786,565,250,1000
final__mistral_safety,8,first_gen,mean_diff,0.5345534682273865,-0.7677271962165833,-0.44863505531934694,3.422502040863037,0.8760736196319019,0.7664,0.8865658044815063,0.35336846113204956,260,740,565,250,1000
final__mistral_safety,16,first_gen,mean_diff,0.5766100287437439,-2.1912317276000977,-0.4738806251040886,9.248032569885254,0.8809815950920246,0.7712,0.9001818895339966,0.41296425461769104,260,740,565,250,1000
final__mistral_safety,19,first_gen,mean_diff,0.612884521484375,-3.4472837448120117,-0.4724234741237333,14.594040870666504,0.8822085889570552,0.7336,0.914326012134552,0.47355395555496216,260,740,565,250,1000
final__mistral_safety,24,first_gen,mean_diff,0.6828269958496094,-5.657891273498535,-0.43931256180313427,25.757930755615234,0.8834355828220859,0.6584,0.9230422973632812,0.5806174278259277,260,740,565,250,1000
final__mistral_safety,26,first_gen,mean_diff,0.7027212381362915,-6.812255859375,-0.4324076689386049,31.508487701416016,0.8846625766871166,0.6536,0.9208455085754395,0.6164219379425049,260,740,565,250,1000
final__mistral_safety,31,first_gen,mean_diff,0.7125287055969238,-11.733166694641113,-0.3941799497820225,59.53203201293945,0.8773006134969326,0.6416,0.928085446357727,0.5940232872962952,260,740,565,250,1000
