checkpoint,layer,token_position,method,entanglement,boundary_margin,boundary_margin_n,cluster_distance,acc_ref,acc_over,cos_vbeh_vref,cos_vbeh_vover,n_pseudo_refused,n_pseudo_accepted,n_harmful,n_harmless,n_pseudo
base__mistral_safety,26,last_prompt,mean_diff,-0.21615095436573029,-9.5712890625,-1.8275024420630832,10.47472095489502,0.7141104294478527,0.944,-0.009806269779801369,-0.2341458797454834,34,966,565,250,1000
base__mistral_safety,31,last_prompt,mean_diff,-0.2786663770675659,-28.211078643798828,-2.0766689683466124,27.16954803466797,0.7153374233128834,0.9304,0.13354000449180603,-0.29677635431289673,34,966,565,250,1000
sft__none,8,last_prompt,mean_diff,-0.02494194358587265,-1.0662658214569092,-1.0930928024348834,1.9509154558181763,0.7079754601226994,0.9584,0.22898411750793457,-0.15856397151947021,344,656,565,250,1000
sft__none,16,last_prompt,mean_diff,-0.015832606703042984,-2.0136003494262695,-1.0632230885272294,3.787728786468506,0.7447852760736197,0.9584,0.3155492842197418,-0.15107285976409912,344,656,565,250,1000
sft__none,19,last_prompt,mean_diff,0.0023706601932644844,-2.5312633514404297,-0.9914447417575306,5.1062116622924805,0.7521472392638037,0.9576,0.2589375376701355,-0.17404542863368988,344,656,565,250,1000
sft__none,24,last_prompt,mean_diff,0.03993184119462967,-3.193213701248169,-0.8689193430750225,7.349850654602051,0.7668711656441718,0.9576,0.22337239980697632,-0.21700993180274963,344,656,565,250,1000
sft__none,26,last_prompt,mean_diff,0.03515424579381943,-3.8692939281463623,-0.8899225900358031,8.695798873901367,0.7607361963190185,0.9592,0.20827621221542358,-0.22985634207725525,344,656,565,250,1000
sft__none,31,last_prompt,mean_diff,-0.18033695220947266,-21.065702438354492,-1.6294756935141395,25.855804443359375,0.7128834355828221,0.9296,0.2718048691749573,-0.2898981273174286,344,656,565,250,1000
sft__mistral_safety,8,last_prompt,mean_diff,-0.057975154370069504,-1.2064306735992432,-1.2141983454475933,1.9872052669525146,0.7067484662576687,0.9536,0.22588810324668884,-0.07917746901512146,353,647,565,250,1000
sft__mistral_safety,16,last_prompt,mean_diff,-0.05370756983757019,-2.413480281829834,-1.1969674700432076,4.032658100128174,0.7484662576687117,0.9576,0.32131335139274597,-0.03542330861091614,353,647,565,250,1000
sft__mistral_safety,19,last_prompt,mean_diff,-0.1355246752500534,-3.9999332427978516,-1.471057402935883,5.438174247741699,0.7263803680981595,0.9472,0.300342857837677,-0.07902631908655167,353,647,565,250,1000
