checkpoint,recall_harmful,compliance_pseudo,compliance_harmless,mean_ga_pseudo,pd_rate_pseudo
base__mistral_safety,0.21215043394406943,0.966,0.8044382801664355,2.2249322493224932,0.08401084010840108
base__none,0.12439729990356799,0.981,0.8585298196948683,2.4348370927318297,0.041353383458646614
dpo__mistral_safety,0.8081002892960463,0.74,0.7184466019417476,1.897,0.369
dpo__none,0.781099324975892,0.79,0.710124826629681,1.869,0.334
final__mistral_safety,0.8071359691417551,0.74,0.7337031900138696,1.888,0.364
final__none,0.7801350048216008,0.786,0.7031900138696255,1.8858858858858858,0.3263263263263263
sft__mistral_safety,0.8765670202507232,0.647,0.667128987517337,1.5609264853977844,0.4743202416918429
sft__none,0.8351012536162006,0.656,0.6366158113730929,1.6170854271356785,0.44221105527638194
